Date,Time,Input Source,Output Destination,Job Information,Page Information,Pages,Sheets,Job Status,Job Hierarchy,Job Number
31/03/2023,20:08:54,Scanner,Center Output Tray,1 Sided,Color:A4:Plain:White,6,6,Completed,,c6822844-cfbc-11ed-8000-1c7d22323175
31/03/2023,20:01:24,LPD:SGSIN4BL0017:16001:Microsoft PowerPoint - S2_T2_L2 - vocabulary,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,10,10,Completed,,b7822841-cfbb-11ed-8000-1c7d22323175
31/03/2023,20:01:13,LPD:SGSIN1BL7013:Microsoft Word - P1_T2_Lesson 2 - HOMEWORK linkers,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,16,16,Completed,,a682283e-cfbb-11ed-8000-1c7d22323175
31/03/2023,20:00:39,LPD:SGSIN1BL7013:Microsoft Word - P1_T2_Lesson 2 - Penguin Fact File EDITED SHORTER,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,36,36,Completed,,7e02283b-cfbb-11ed-8000-1c7d22323175
31/03/2023,19:59:49,LPD:SGSIN1BL7013:P1_T2_Lesson 1 - lost and found_storymap.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,36,36,Completed,,6c822838-cfbb-11ed-8000-1c7d22323175
31/03/2023,19:42:18,LPD:SGSIN1BL7013:Microsoft Word - P1_T2_Lesson 2 - Animal Fact Gapfill EDITED SHORTER,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,3,3,Completed,,11822835-cfb9-11ed-8000-1c7d22323175
31/03/2023,19:42:06,LPD:SGSIN1BL7013:Microsoft Word - P1_T2_Lesson 2 - Penguin Fact File WALL CRAWL,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,6,6,Completed,,02822832-cfb9-11ed-8000-1c7d22323175
31/03/2023,18:05:55,Scanner,Center Output Tray,1 Sided,Color:A4:Plain:White,1,1,Completed,,92022831-cfab-11ed-8000-1c7d22323175
31/03/2023,17:18:23,LPD:SGSIN1BL7186:A91hkr6xq_175szp5_gcw.tmp.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,3,3,Completed,,f602282e-cfa4-11ed-8000-1c7d22323175
31/03/2023,17:11:10,Scanner,Center Output Tray,1 Sided,Color:A4:Plain:White,60,60,Completed,,cf02282b-cfa3-11ed-8000-1c7d22323175
31/03/2023,17:02:38,LPD:SGSIN1BC4090:16001:T2 K2 Lesson 2 George Shrinks 2019.pdf,Right-Top Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,c2022828-cfa2-11ed-8000-1c7d22323175
31/03/2023,17:02:17,LPD:SGSIN1BC4090:16001:Long vowels worksheet 2019.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,14,14,Completed,,af822825-cfa2-11ed-8000-1c7d22323175
31/03/2023,17:01:49,LPD:SGSIN1BC4090:16001:Lesson 12 Phonics Review Worksheets 2019.pdf,Right-Top Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,3,3,Completed,,a2822822-cfa2-11ed-8000-1c7d22323175
31/03/2023,16:42:08,LPD:SGSIN1BC4090:16001:N2_T2_Parent Guide_Print in Colour.pdf,Right-Top Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,20,20,Completed,,d882281f-cf9f-11ed-8000-1c7d22323175
31/03/2023,16:36:47,LPD:SGSIN1BC4090:16001:Microsoft Word - K2_T2_L13_SpellingList,Right-Middle Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain,2,2,Completed,,1f02281c-cf9f-11ed-8000-1c7d22323175
